row_id,system_id,control_id,control_name,framework,source,observed_at,summary,evidence_ref
ev-0001,sys-windrow-prod,3.1.1,Limit system access to authorized users,NIST SP 800-171,gcp-audit-log,2026-09-01T02:14:07Z,IAM policy binding change reviewed and approved via change CR-4471,gcs://blackfork-bronze/gcp-audit/2026-09-01/part-0007.json#L2231
ev-0002,sys-windrow-prod,3.1.1,Limit system access to authorized users,NIST SP 800-171,terraform-state,2026-09-01T03:00:00Z,Workload identity pool restricts CI to repo deathscythe272/blackfork-platform,gcs://blackfork-bronze/tfstate/2026-09-01/prod.tfstate#resource.google_iam_workload_identity_pool_provider.github
ev-0003,sys-windrow-prod,3.3.1,Create and retain audit logs,NIST SP 800-171,gcp-audit-log,2026-09-02T00:00:12Z,Admin activity and data access logs enabled for all prod projects with 400-day retention,gcs://blackfork-bronze/gcp-audit/2026-09-02/part-0001.json#L14
ev-0004,sys-windrow-prod,3.3.1,Create and retain audit logs,NIST SP 800-171,security-onion,2026-09-02T04:41:55Z,Suricata alert ET SCAN Nmap Scripting Engine detected and forwarded to SIEM within 3s,gcs://blackfork-bronze/so-alerts/2026-09-02/alerts-0441.jsonl#L88
ev-0005,sys-windrow-prod,3.14.6,Monitor systems to detect attacks,NIST SP 800-171,security-onion,2026-09-03T11:20:31Z,Zeek notice SSH::Password_Guessing on bastion; auto-blocked source after 5 failures,gcs://blackfork-bronze/so-alerts/2026-09-03/notices-1120.jsonl#L3
ev-0006,sys-windrow-prod,3.14.6,Monitor systems to detect attacks,NIST SP 800-171,security-onion,2026-09-04T09:05:02Z,Sensor health check passed: 100% packet capture on prod span port over 24h,gcs://blackfork-bronze/so-health/2026-09-04/health.json#sensor.prod-span-01
ev-0007,sys-windrow-prod,3.11.2,Scan for vulnerabilities periodically,NIST SP 800-171,trivy,2026-09-04T06:00:00Z,Nightly scan of 38 prod images complete; 2 critical CVEs with exploitability verdict pending,gcs://blackfork-bronze/trivy/2026-09-04/summary.json
ev-0008,sys-windrow-prod,3.4.2,Enforce security configuration settings,NIST SP 800-171,terraform-state,2026-09-04T03:00:00Z,All prod Cloud Run services set ingress=internal-and-cloud-load-balancing,gcs://blackfork-bronze/tfstate/2026-09-04/prod.tfstate#resource.google_cloud_run_v2_service
ev-0101,sys-windrow-dev,3.1.1,Limit system access to authorized users,NIST SP 800-171,gcp-audit-log,2026-09-01T15:32:44Z,Developer granted roles/editor on dev project via self-service (no CR),gcs://blackfork-bronze/gcp-audit/2026-09-01/part-0031.json#L907
ev-0102,sys-windrow-dev,3.3.1,Create and retain audit logs,NIST SP 800-171,gcp-audit-log,2026-09-02T00:00:09Z,Admin activity logs enabled; data access logs disabled on dev project,gcs://blackfork-bronze/gcp-audit/2026-09-02/part-0002.json#L5
ev-0103,sys-windrow-dev,3.14.6,Monitor systems to detect attacks,NIST SP 800-171,security-onion,2026-09-03T18:47:10Z,Suricata alert ET POLICY curl User-Agent outbound from dev-ci-runner,gcs://blackfork-bronze/so-alerts/2026-09-03/alerts-1847.jsonl#L12
ev-0104,sys-windrow-dev,3.11.2,Scan for vulnerabilities periodically,NIST SP 800-171,grype,2026-09-04T06:10:00Z,Scan of 12 dev images: 9 critical CVEs; 4 flagged exploitable by blueprint,gcs://blackfork-bronze/grype/2026-09-04/summary.json
